id,project,bug_class,source_file,function,shape,hardness_bar_verdict,confidence_split,reason
cjson_1_7_19_hard_alloc_003,cjson,alloc,cJSON_Utils.c,cJSONUtils_FindPointerFromObjectTo,object-pointer-path-slash-slot-drop,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_alloc_004,cjson,alloc,cJSON_Utils.c,compose_patch,patch-compose-suffix-terminator-slot-drop,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_doublefree_001,cjson,doublefree,cJSON.c,parse_object,object-key-transfer-nullout-drop,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_doublefree_002,cjson,doublefree,cJSON.c,cJSON_ReplaceItemViaPointer,replace-delete-with-linked-siblings,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_doublefree_003,cjson,doublefree,cJSON.c,cJSON_Duplicate_rec,duplicate-object-key-borrowed,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_doublefree_004,cjson,doublefree,cJSON_Utils.c,apply_patch,patch-copy-without-duplicate,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_intover_001,cjson,intover,cJSON.c,ensure,printbuffer-growth-signed-narrowing,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_intover_002,cjson,intover,cJSON.c,print_string_ptr,print-string-output-length-truncation,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_intover_003,cjson,intover,cJSON_Utils.c,pointer_encoded_length,json-pointer-encoded-length-truncation,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_spatial_001,cjson,spatial,cJSON.c,utf16_literal_to_utf8,utf16-first-sequence-short-read,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_spatial_002,cjson,spatial,cJSON.c,utf16_literal_to_utf8,utf16-second-sequence-short-read,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_spatial_003,cjson,spatial,cJSON.c,parse_string,parse-string-output-terminator-drop,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_spatial_004,cjson,spatial,cJSON.c,print_string_ptr,control-character-escape-length-underestimate,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_spatial_005,cjson,spatial,cJSON.c,print_object,formatted-object-closing-size-underestimate,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_typeconf_001,cjson,typeconf,cJSON.c,cJSON_Compare,compare-discriminator-check-drop,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_typeconf_002,cjson,typeconf,cJSON_Utils.c,compare_json,patch-test-discriminator-check-drop,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_uaf_001,cjson,uaf,cJSON.c,create_reference,reference-node-owner-flag-clear,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_uaf_002,cjson,uaf,cJSON.c,create_reference,reference-node-next-link-retained,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_uaf_003,cjson,uaf,cJSON.c,cJSON_DetachItemViaPointer,detach-next-link-retained,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_uaf_004,cjson,uaf,cJSON.c,cJSON_ReplaceItemViaPointer,replace-self-guard-drop,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_uaf_005,cjson,uaf,cJSON_Utils.c,apply_patch,root-replace-shell-free-to-deep-delete,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_uaf_006,cjson,uaf,cJSON_Utils.c,apply_patch,patch-object-key-borrowed-from-path-buffer,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_uninit_001,cjson,uninit,cJSON.c,parse_string,parse-string-fail-output-uninitialized,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_uninit_002,cjson,uninit,cJSON.c,cJSON_Duplicate_rec,duplicate-tail-pointer-uninitialized,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_uninit_003,cjson,uninit,cJSON_Utils.c,apply_patch,patch-status-uninitialized,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
dr_flac_0_13_4_hard_alloc_cuesheet_track_index_raw_stride_shortfall_0001,dr_flac,alloc,dr_flac.h,drflac__read_and_decode_metadata,flac-cuesheet-index-packed-size-underalloc-host-stride,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
dr_flac_0_13_4_hard_alloc_metadata_seektable_raw_struct_shortfall_0001,dr_flac,alloc,dr_flac.h,drflac__read_and_decode_metadata,flac-seektable-raw-block-underalloc-host-struct-stride,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
dr_flac_0_13_4_hard_spatial_frame_blocksize_max_plus_one_0001,dr_flac,spatial,dr_flac.h,drflac__decode_flac_frame,flac-frame-blocksize-streaminfo-arena-one-past,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
dr_flac_0_13_4_hard_spatial_frame_channel_assignment_lookup_0001,dr_flac,spatial,dr_flac.h,drflac__read_next_flac_frame_header,flac-frame-channel-assignment-one-past-deferred-lookup,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
dr_flac_0_13_4_hard_spatial_seektable_last_neighbor_oob_0001,dr_flac,spatial,dr_flac.h,drflac__seek_to_pcm_frame__seek_table,flac-seektable-last-point-next-neighbor-oob,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
dr_mp3_0_7_4_hard_spatial_l3_big_values_289_grbuf_overrun_0001,dr_mp3,spatial,dr_mp3.h,drmp3_L3_read_side_info,mp3-layer3-big-values-one-pair-past-granule-buffer,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
dr_mp3_0_7_4_hard_spatial_mpeg1_intensity_pan_index_7_0001,dr_mp3,spatial,dr_mp3.h,drmp3_L3_stereo_process,mp3-mpeg1-intensity-stereo-pan-table-one-past,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
dr_mp3_0_7_4_hard_spatial_seek_table_endpoint_linear_scan_0001,dr_mp3,spatial,dr_mp3.h,drmp3_find_closest_seek_point,mp3-bound-seektable-endpoint-linear-scan-one-past,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
dr_wav_0_14_6_hard_alloc_memory_writer_relative_growth_shortfall_0001,dr_wav,alloc,dr_wav.h,drwav__on_write_memory,memory-write-stream-growth-forgets-current-cursor,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
dr_wav_0_14_6_hard_doublefree_metadata_take_ownership_alias_0001,dr_wav,doublefree,dr_wav.h,drwav_take_ownership_of_metadata,metadata-ownership-transfer-state-retained,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
dr_wav_0_14_6_hard_spatial_compressed_three_channel_state_arrays_0001,dr_wav,spatial,dr_wav.h,drwav_init__internal,compressed-adpcm-channel-limit-exceeds-state-vectors,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
dr_wav_0_14_6_hard_spatial_ima_mono_step_index_boundary_0001,dr_wav,spatial,dr_wav.h,drwav_read_pcm_frames_s16__ima,ima-mono-step-index-one-past-deferred-table,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
dr_wav_0_14_6_hard_spatial_metadata_alignment_reservation_shortfall_0001,dr_wav,spatial,dr_wav.h,drwav__metadata_request_extra_memory_for_stage_2,metadata-two-pass-alignment-padding-underreserve,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
dr_wav_0_14_6_hard_spatial_msadpcm_mono_predictor_boundary_0001,dr_wav,spatial,dr_wav.h,drwav_read_pcm_frames_s16__msadpcm,msadpcm-mono-predictor-one-past-coefficient-table,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_alloc_0001,expat,alloc,lib/xmlparse.c,XML_GetBuffer,parse-buffer-leftover-undercount,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_alloc_0002,expat,alloc,lib/xmlparse.c,storeAtts,namespace-uri-grow-capacity-overclaim,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_alloc_0003,expat,alloc,lib/xmlparse.c,addBinding,namespace-binding-initial-capacity-overclaim,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_alloc_0004,expat,alloc,lib/xmlparse.c,defineAttribute,default-attribute-table-growth-advertised-capacity-mismatch,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_alloc_0005,expat,alloc,lib/xmlparse.c,dtdCopy,external-entity-dtd-default-attribute-sizeof-factor,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_alloc_0006,expat,alloc,lib/xmlparse.c,nextScaffoldPart,content-model-group-index-sizeof-factor-loss,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_alloc_0007,expat,alloc,lib/xmlparse.c,build_model,content-model-trailing-string-region-omission,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_doublefree_0001,expat,doublefree,lib/xmlparse.c,parserInit,parser-reset-open-entity-free-list-alias,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_doublefree_0002,expat,doublefree,lib/xmlparse.c,XML_ParserReset,reset-tag-binding-ownership-detach-loss,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_doublefree_0003,expat,doublefree,lib/xmlparse.c,XML_ParserFree,parser-tag-freelist-destroy-without-owner-detach,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_doublefree_0004,expat,doublefree,lib/xmlparse.c,internalEntityProcessor,internal-entity-open-free-list-alias,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_doublefree_0005,expat,doublefree,lib/xmlparse.c,dtdReset,dtd-reset-scaffold-index-nullout-omission,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_doublefree_0006,expat,doublefree,lib/xmlparse.c,hashTableClear,hash-table-clear-retains-freed-entry-slots,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_doublefree_0007,expat,doublefree,lib/xmlparse.c,poolClear,string-pool-clear-active-free-list-alias,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_intover_0001,expat,intover,lib/xmlparse.c,poolGrow,string-pool-blocksize-doubling-overflow-check-weakening,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_spatial_0001,expat,spatial,lib/xmlparse.c,doContent,start-tag-name-conversion-terminator-slot-admission,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_spatial_0002,expat,spatial,lib/xmlparse.c,storeAtts,attribute-workspace-default-count-undercount,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_spatial_0003,expat,spatial,lib/xmlparse.c,lookup,hash-table-grow-size-overclaim,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_spatial_0004,expat,spatial,lib/xmlparse.c,poolStoreString,string-pool-terminator-exact-end-growth-skip,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_spatial_0005,expat,spatial,lib/xmlparse.c,build_model,content-model-child-job-loop-upper-bound-off-by-one,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_uaf_0001,expat,uaf,lib/xmlparse.c,storeRawNames,tag-localpart-rebase-omission,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_uaf_0002,expat,uaf,lib/xmlparse.c,doContent,end-element-prefix-binding-restore-omission,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_uaf_0003,expat,uaf,lib/xmlparse.c,freeBindings,start-tag-error-prefix-binding-restore-omission,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_uaf_0004,expat,uaf,lib/xmlparse.c,storeAtts,namespace-uri-realloc-open-tag-rebase-omission,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_uaf_0005,expat,uaf,lib/xmlparse.c,addBinding,namespace-binding-free-list-pop-omission,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_uaf_0006,expat,uaf,lib/xmlparse.c,poolClear,string-pool-clear-retains-start-pointer,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_uaf_0007,expat,uaf,lib/xmlparse.c,poolGrow,string-pool-realloc-cursor-offset-after-move,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
T1H_expat_uninit_0001,expat,uninit,lib/xmlparse.c,nextScaffoldPart,content-scaffold-nextsib-field-initialization-gap,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
ezxml_dcb1748_hard_alloc_parse_fp_chunk_realloc_one_short_0003,ezxml,alloc,ezxml.c,ezxml_parse_fp,ezxml-parse-fp-exact-chunk-growth-one-short,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
ezxml_dcb1748_hard_doublefree_cut_subtree_retains_ordered_successor_0001,ezxml,doublefree,ezxml.c,ezxml_cut,ezxml-cut-subtree-ordered-successor-stale-owner,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
ezxml_dcb1748_hard_spatial_ampencode_escape_boundary_reserve_short_0004,ezxml,spatial,ezxml.c,ezxml_ampencode,ezxml-serializer-escaped-attribute-boundary-reserve-short,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
ezxml_dcb1748_hard_spatial_utf16_surrogate_conversion_growth_gap_0002,ezxml,spatial,ezxml.c,ezxml_str2utf8,ezxml-utf16-surrogate-four-byte-growth-gap,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
freetype_2_14_3_hard_alloc_bdf_bitmap_size_trunc_0001,freetype,alloc,src/bdf/bdflib.c,bdf_parse_glyphs_,bdf-bitmap-product-truncated-before-row-parser,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
freetype_2_14_3_hard_spatial_cff_cid_fdselect_subfont_one_past_0001,freetype,spatial,src/cff/cffgload.c,cff_slot_load,cid-cff-fdselect-one-past-subfont-matrix,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
freetype_2_14_3_hard_spatial_cff_local_subr_sentinel_one_past_0001,freetype,spatial,src/psaux/cffdecode.c,cff_decoder_parse_charstrings,type2-local-subr-sentinel-limit-one-past,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
freetype_2_14_3_hard_spatial_cff_vstore_region_one_past_0001,freetype,spatial,src/cff/cffload.c,cff_blend_build_vector,cff2-vstore-region-count-one-past-blend-vector,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
freetype_2_14_3_hard_spatial_cid_subrmap_cumulative_delta_from_base_0001,freetype,spatial,src/cid/cidload.c,cid_read_subrs,cid-subrmap-pointer-chain-uses-map-base-delta,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
freetype_2_14_3_hard_spatial_colr_var_color_stop_entry_size_0001,freetype,spatial,src/sfnt/ttcolr.c,tt_face_get_colorline_stops,colr-v1-var-color-stop-iterator-entry-size-omits-var-index,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
freetype_2_14_3_hard_spatial_cpal_palette_indices_first_entry_only_0001,freetype,spatial,src/sfnt/ttcpal.c,tt_face_load_cpal,cpal-palette-index-array-validated-as-single-entry,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
freetype_2_14_3_hard_spatial_pcf_bitmap_count_metrics_relation_0001,freetype,spatial,src/pcf/pcfread.c,pcf_get_bitmaps,pcf-metrics-bitmap-table-count-relation-allows-extra-offsets,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
freetype_2_14_3_hard_spatial_pfr_compound_subglyph_capacity_uses_delta_0001,freetype,spatial,src/pfr/pfrgload.c,pfr_glyph_load_compound,pfr-compound-subglyph-capacity-drops-carried-count,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
freetype_2_14_3_hard_spatial_pfr_simple_glyph_y_control_split_0001,freetype,spatial,src/pfr/pfrgload.c,pfr_glyph_load_simple,pfr-simple-glyph-control-array-axis-split-uses-y-count,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
freetype_2_14_3_hard_spatial_sbit_index4_sparse_offset_tail_0001,freetype,spatial,src/sfnt/ttsbit.c,tt_sbit_decoder_load_image,sbit-index4-sparse-glyph-array-missing-tail-offset,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
freetype_2_14_3_hard_spatial_ttglyf_simple_phantom_point_capacity_0001,freetype,spatial,src/truetype/ttgload.c,TT_Load_Simple_Glyph,ttglyf-simple-glyph-phantom-point-capacity-omits-tail-points,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
freetype_2_14_3_hard_spatial_woff2_simple_glyph_flag_stream_cumulative_0001,freetype,spatial,src/sfnt/sfwoff2.c,reconstruct_glyf,woff2-simple-glyph-flag-substream-cumulative-count-reset,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
freetype_2_14_3_hard_uaf_cff2_blend_stack_base_pointer_0001,freetype,uaf,src/cff/cffload.c,cff_blend_doBlend,cff2-blend-stack-base-pointer-not-retargeted-after-realloc,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
freetype_2_14_3_hard_uninit_sbit_small_metrics_vertical_fields_0001,freetype,uninit,src/sfnt/ttsbit.c,tt_sbit_decoder_load_metrics,sbit-small-metrics-vertical-bearing-fields-left-untouched,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
frozen_a42fc33_hard_alloc_printf_heap_fallback_missing_terminator_byte_0004,frozen,alloc,frozen.c,json_vprintf,frozen-vprintf-delegated-format-heap-buffer-nul-slot,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
frozen_a42fc33_hard_alloc_qscan_unescape_result_missing_nul_slot_0002,frozen,alloc,frozen.c,json_scanf_cb,frozen-qscan-two-pass-unescape-result-nul-slot-missing,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
frozen_a42fc33_hard_spatial_callback_path_full_capacity_terminator_0005,frozen,spatial,frozen.c,json_append_to_path,frozen-callback-path-reserved-terminator-capacity-loss,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
frozen_a42fc33_hard_spatial_output_buffer_exact_fill_nul_clamp_0003,frozen,spatial,frozen.c,json_printer_buf,frozen-json-printer-buffer-exact-fill-nul-index,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
frozen_a42fc33_hard_spatial_scanf_numeric_token_stack_exact_length_0001,frozen,spatial,frozen.c,json_scanf_cb,frozen-scanf-numeric-token-stack-buffer-exact-fill,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
giflib_5_2_2_hard_doublefree_leading_extension_owner_not_cleared_0001,giflib,doublefree,dgif_lib.c,DGifSlurp,gif-leading-extension-transfer-stale-file-owner,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
giflib_5_2_2_hard_doublefree_local_colormap_saved_image_alias_0001,giflib,doublefree,dgif_lib.c,DGifGetImageDesc,gif-saved-image-local-colormap-shared-owner,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
giflib_5_2_2_hard_spatial_gif2rgb_single_axis_screen_escape_0001,giflib,spatial,gif2rgb.c,GIF2RGB,gif2rgb-screen-confinement-single-axis-escape,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
giflib_5_2_2_hard_spatial_interlace_slurp_height_one_past_row_0001,giflib,spatial,dgif_lib.c,DGifSlurp,gif-interlace-pass-height-one-past-raster-row,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
giflib_5_2_2_hard_spatial_lzw_prefix_full_stack_terminal_push_0001,giflib,spatial,dgif_lib.c,DGifDecompressLine,gif-lzw-prefix-chain-full-stack-terminal-push,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
giflib_5_2_2_hard_spatial_lzw_width_13_codemask_index_0001,giflib,spatial,dgif_lib.c,DGifDecompressInput,gif-lzw-running-bits-codemask-width-thirteen,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
giflib_5_2_2_hard_spatial_union_colormap_capacity_accepts_257_colors_0001,giflib,spatial,gifalloc.c,GifUnionColorMap,gif-union-colormap-format-limit-vs-temp-capacity,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
giflib_5_2_2_hard_uaf_saved_image_raster_borrowed_after_include_close_0001,giflib,uaf,gifalloc.c,GifMakeSavedImage,gif-saved-image-raster-borrowed-through-include-copy,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
