id,project,bug_class,source_file,function,shape,manifest,source_batch,selection_method,verdict,reason
cjson_1_7_19_hard_alloc_003,cjson,alloc,cJSON_Utils.c,cJSONUtils_FindPointerFromObjectTo,object-pointer-path-slash-slot-drop,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
cjson_1_7_19_hard_alloc_004,cjson,alloc,cJSON_Utils.c,compose_patch,patch-compose-suffix-terminator-slot-drop,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
cjson_1_7_19_hard_doublefree_001,cjson,doublefree,cJSON.c,parse_object,object-key-transfer-nullout-drop,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `cross-function` rather than adjacent"
cjson_1_7_19_hard_doublefree_002,cjson,doublefree,cJSON.c,cJSON_ReplaceItemViaPointer,replace-delete-with-linked-siblings,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `cross-function` rather than adjacent"
cjson_1_7_19_hard_doublefree_003,cjson,doublefree,cJSON.c,cJSON_Duplicate_rec,duplicate-object-key-borrowed,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `deep` rather than adjacent"
cjson_1_7_19_hard_doublefree_004,cjson,doublefree,cJSON_Utils.c,apply_patch,patch-copy-without-duplicate,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `deep` rather than adjacent"
cjson_1_7_19_hard_intover_001,cjson,intover,cJSON.c,ensure,printbuffer-growth-signed-narrowing,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
cjson_1_7_19_hard_intover_002,cjson,intover,cJSON.c,print_string_ptr,print-string-output-length-truncation,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
cjson_1_7_19_hard_intover_003,cjson,intover,cJSON_Utils.c,pointer_encoded_length,json-pointer-encoded-length-truncation,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
cjson_1_7_19_hard_spatial_001,cjson,spatial,cJSON.c,utf16_literal_to_utf8,utf16-first-sequence-short-read,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
cjson_1_7_19_hard_spatial_002,cjson,spatial,cJSON.c,utf16_literal_to_utf8,utf16-second-sequence-short-read,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
cjson_1_7_19_hard_spatial_003,cjson,spatial,cJSON.c,parse_string,parse-string-output-terminator-drop,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
cjson_1_7_19_hard_spatial_004,cjson,spatial,cJSON.c,print_string_ptr,control-character-escape-length-underestimate,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
cjson_1_7_19_hard_spatial_005,cjson,spatial,cJSON.c,print_object,formatted-object-closing-size-underestimate,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
cjson_1_7_19_hard_typeconf_001,cjson,typeconf,cJSON.c,cJSON_Compare,compare-discriminator-check-drop,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
cjson_1_7_19_hard_typeconf_002,cjson,typeconf,cJSON_Utils.c,compare_json,patch-test-discriminator-check-drop,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
cjson_1_7_19_hard_uaf_001,cjson,uaf,cJSON.c,create_reference,reference-node-owner-flag-clear,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `deep` rather than adjacent"
cjson_1_7_19_hard_uaf_002,cjson,uaf,cJSON.c,create_reference,reference-node-next-link-retained,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `deep` rather than adjacent"
cjson_1_7_19_hard_uaf_003,cjson,uaf,cJSON.c,cJSON_DetachItemViaPointer,detach-next-link-retained,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `cross-function` rather than adjacent"
cjson_1_7_19_hard_uaf_004,cjson,uaf,cJSON.c,cJSON_ReplaceItemViaPointer,replace-self-guard-drop,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `cross-function` rather than adjacent"
cjson_1_7_19_hard_uaf_005,cjson,uaf,cJSON_Utils.c,apply_patch,root-replace-shell-free-to-deep-delete,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `cross-function` rather than adjacent"
cjson_1_7_19_hard_uaf_006,cjson,uaf,cJSON_Utils.c,apply_patch,patch-object-key-borrowed-from-path-buffer,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `cross-function` rather than adjacent"
cjson_1_7_19_hard_uninit_001,cjson,uninit,cJSON.c,parse_string,parse-string-fail-output-uninitialized,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
cjson_1_7_19_hard_uninit_002,cjson,uninit,cJSON.c,cJSON_Duplicate_rec,duplicate-tail-pointer-uninitialized,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
cjson_1_7_19_hard_uninit_003,cjson,uninit,cJSON_Utils.c,apply_patch,patch-status-uninitialized,cjson-v1.7.19-hard-20260615/cjson_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
dr_flac_0_13_4_hard_alloc_cuesheet_track_index_raw_stride_shortfall_0001,dr_flac,alloc,dr_flac.h,drflac__read_and_decode_metadata,flac-cuesheet-index-packed-size-underalloc-host-stride,dr_flac-0.13.4-hard-20260616/dr_flac_hard_static_20260616.json,project-hard-20260616,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
dr_flac_0_13_4_hard_alloc_metadata_seektable_raw_struct_shortfall_0001,dr_flac,alloc,dr_flac.h,drflac__read_and_decode_metadata,flac-seektable-raw-block-underalloc-host-struct-stride,dr_flac-0.13.4-hard-20260616/dr_flac_hard_static_20260616.json,project-hard-20260616,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
dr_flac_0_13_4_hard_spatial_frame_blocksize_max_plus_one_0001,dr_flac,spatial,dr_flac.h,drflac__decode_flac_frame,flac-frame-blocksize-streaminfo-arena-one-past,dr_flac-0.13.4-hard-20260616/dr_flac_hard_static_20260616.json,project-hard-20260616,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
dr_flac_0_13_4_hard_spatial_frame_channel_assignment_lookup_0001,dr_flac,spatial,dr_flac.h,drflac__read_next_flac_frame_header,flac-frame-channel-assignment-one-past-deferred-lookup,dr_flac-0.13.4-hard-20260616/dr_flac_hard_static_20260616.json,project-hard-20260616,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
dr_flac_0_13_4_hard_spatial_seektable_last_neighbor_oob_0001,dr_flac,spatial,dr_flac.h,drflac__seek_to_pcm_frame__seek_table,flac-seektable-last-point-next-neighbor-oob,dr_flac-0.13.4-hard-20260616/dr_flac_hard_static_20260616.json,project-hard-20260616,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
dr_mp3_0_7_4_hard_spatial_l3_big_values_289_grbuf_overrun_0001,dr_mp3,spatial,dr_mp3.h,drmp3_L3_read_side_info,mp3-layer3-big-values-one-pair-past-granule-buffer,dr_mp3-0.7.4-hard-20260616/dr_mp3_hard_static_20260616.json,project-hard-20260616,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
dr_mp3_0_7_4_hard_spatial_mpeg1_intensity_pan_index_7_0001,dr_mp3,spatial,dr_mp3.h,drmp3_L3_stereo_process,mp3-mpeg1-intensity-stereo-pan-table-one-past,dr_mp3-0.7.4-hard-20260616/dr_mp3_hard_static_20260616.json,project-hard-20260616,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
dr_mp3_0_7_4_hard_spatial_seek_table_endpoint_linear_scan_0001,dr_mp3,spatial,dr_mp3.h,drmp3_find_closest_seek_point,mp3-bound-seektable-endpoint-linear-scan-one-past,dr_mp3-0.7.4-hard-20260616/dr_mp3_hard_static_20260616.json,project-hard-20260616,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
dr_wav_0_14_6_hard_alloc_memory_writer_relative_growth_shortfall_0001,dr_wav,alloc,dr_wav.h,drwav__on_write_memory,memory-write-stream-growth-forgets-current-cursor,dr_wav-0.14.6-hard-20260616/dr_wav_hard_static_20260616.json,project-hard-20260616,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
dr_wav_0_14_6_hard_doublefree_metadata_take_ownership_alias_0001,dr_wav,doublefree,dr_wav.h,drwav_take_ownership_of_metadata,metadata-ownership-transfer-state-retained,dr_wav-0.14.6-hard-20260616/dr_wav_hard_static_20260616.json,project-hard-20260616,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `cross-function` rather than adjacent"
dr_wav_0_14_6_hard_spatial_compressed_three_channel_state_arrays_0001,dr_wav,spatial,dr_wav.h,drwav_init__internal,compressed-adpcm-channel-limit-exceeds-state-vectors,dr_wav-0.14.6-hard-20260616/dr_wav_hard_static_20260616.json,project-hard-20260616,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
dr_wav_0_14_6_hard_spatial_ima_mono_step_index_boundary_0001,dr_wav,spatial,dr_wav.h,drwav_read_pcm_frames_s16__ima,ima-mono-step-index-one-past-deferred-table,dr_wav-0.14.6-hard-20260616/dr_wav_hard_static_20260616.json,project-hard-20260616,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
dr_wav_0_14_6_hard_spatial_metadata_alignment_reservation_shortfall_0001,dr_wav,spatial,dr_wav.h,drwav__metadata_request_extra_memory_for_stage_2,metadata-two-pass-alignment-padding-underreserve,dr_wav-0.14.6-hard-20260616/dr_wav_hard_static_20260616.json,project-hard-20260616,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
dr_wav_0_14_6_hard_spatial_msadpcm_mono_predictor_boundary_0001,dr_wav,spatial,dr_wav.h,drwav_read_pcm_frames_s16__msadpcm,msadpcm-mono-predictor-one-past-coefficient-table,dr_wav-0.14.6-hard-20260616/dr_wav_hard_static_20260616.json,project-hard-20260616,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
T1H_expat_alloc_0001,expat,alloc,lib/xmlparse.c,XML_GetBuffer,parse-buffer-leftover-undercount,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
T1H_expat_alloc_0002,expat,alloc,lib/xmlparse.c,storeAtts,namespace-uri-grow-capacity-overclaim,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
T1H_expat_alloc_0003,expat,alloc,lib/xmlparse.c,addBinding,namespace-binding-initial-capacity-overclaim,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
T1H_expat_alloc_0004,expat,alloc,lib/xmlparse.c,defineAttribute,default-attribute-table-growth-advertised-capacity-mismatch,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
T1H_expat_alloc_0005,expat,alloc,lib/xmlparse.c,dtdCopy,external-entity-dtd-default-attribute-sizeof-factor,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
T1H_expat_alloc_0006,expat,alloc,lib/xmlparse.c,nextScaffoldPart,content-model-group-index-sizeof-factor-loss,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
T1H_expat_alloc_0007,expat,alloc,lib/xmlparse.c,build_model,content-model-trailing-string-region-omission,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
T1H_expat_doublefree_0001,expat,doublefree,lib/xmlparse.c,parserInit,parser-reset-open-entity-free-list-alias,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `deep` rather than adjacent"
T1H_expat_doublefree_0002,expat,doublefree,lib/xmlparse.c,XML_ParserReset,reset-tag-binding-ownership-detach-loss,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `cross-function` rather than adjacent"
T1H_expat_doublefree_0003,expat,doublefree,lib/xmlparse.c,XML_ParserFree,parser-tag-freelist-destroy-without-owner-detach,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit | temporal distance is local, so hardness depends on the path details"
T1H_expat_doublefree_0004,expat,doublefree,lib/xmlparse.c,internalEntityProcessor,internal-entity-open-free-list-alias,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `cross-function` rather than adjacent"
T1H_expat_doublefree_0005,expat,doublefree,lib/xmlparse.c,dtdReset,dtd-reset-scaffold-index-nullout-omission,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `cross-function` rather than adjacent"
T1H_expat_doublefree_0006,expat,doublefree,lib/xmlparse.c,hashTableClear,hash-table-clear-retains-freed-entry-slots,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `cross-function` rather than adjacent"
T1H_expat_doublefree_0007,expat,doublefree,lib/xmlparse.c,poolClear,string-pool-clear-active-free-list-alias,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `cross-function` rather than adjacent"
T1H_expat_intover_0001,expat,intover,lib/xmlparse.c,poolGrow,string-pool-blocksize-doubling-overflow-check-weakening,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
T1H_expat_spatial_0001,expat,spatial,lib/xmlparse.c,doContent,start-tag-name-conversion-terminator-slot-admission,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
T1H_expat_spatial_0002,expat,spatial,lib/xmlparse.c,storeAtts,attribute-workspace-default-count-undercount,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
T1H_expat_spatial_0003,expat,spatial,lib/xmlparse.c,lookup,hash-table-grow-size-overclaim,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
T1H_expat_spatial_0004,expat,spatial,lib/xmlparse.c,poolStoreString,string-pool-terminator-exact-end-growth-skip,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
T1H_expat_spatial_0005,expat,spatial,lib/xmlparse.c,build_model,content-model-child-job-loop-upper-bound-off-by-one,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
T1H_expat_uaf_0001,expat,uaf,lib/xmlparse.c,storeRawNames,tag-localpart-rebase-omission,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `deep` rather than adjacent"
T1H_expat_uaf_0002,expat,uaf,lib/xmlparse.c,doContent,end-element-prefix-binding-restore-omission,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `deep` rather than adjacent"
T1H_expat_uaf_0003,expat,uaf,lib/xmlparse.c,freeBindings,start-tag-error-prefix-binding-restore-omission,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `cross-function` rather than adjacent"
T1H_expat_uaf_0004,expat,uaf,lib/xmlparse.c,storeAtts,namespace-uri-realloc-open-tag-rebase-omission,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `cross-function` rather than adjacent"
T1H_expat_uaf_0005,expat,uaf,lib/xmlparse.c,addBinding,namespace-binding-free-list-pop-omission,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `deep` rather than adjacent"
T1H_expat_uaf_0006,expat,uaf,lib/xmlparse.c,poolClear,string-pool-clear-retains-start-pointer,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `deep` rather than adjacent"
T1H_expat_uaf_0007,expat,uaf,lib/xmlparse.c,poolGrow,string-pool-realloc-cursor-offset-after-move,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `cross-function` rather than adjacent"
T1H_expat_uninit_0001,expat,uninit,lib/xmlparse.c,nextScaffoldPart,content-scaffold-nextsib-field-initialization-gap,expat-2.8.1-hard-20260615/expat_hard_static_20260615.json,project-hard-20260615,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
ezxml_dcb1748_hard_alloc_parse_fp_chunk_realloc_one_short_0003,ezxml,alloc,ezxml.c,ezxml_parse_fp,ezxml-parse-fp-exact-chunk-growth-one-short,ezxml-dcb1748-hard-20260616/ezxml_hard_static_20260616.json,project-hard-20260616,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; selected by per-site LLM source audit"
ezxml_dcb1748_hard_doublefree_cut_subtree_retains_ordered_successor_0001,ezxml,doublefree,ezxml.c,ezxml_cut,ezxml-cut-subtree-ordered-successor-stale-owner,ezxml-dcb1748-hard-20260616/ezxml_hard_static_20260616.json,project-hard-20260616,llm_source_audit,clearly hard enough,"specific source-audit metadata names a concrete invariant, trigger, and nonlocal effect path; temporal distance is `deep` rather than adjacent"
